,likes,replies,text,timestamp,user
139,5,0,Well done to you all. Not watched it but followed through the Twitter reception. Sounds like #Tizibika is off to a brilliant start. https://twitter.com/tozy_b/status/961703023381745664 …,2018-02-08 20:51:39,AfriWoman
140,9,1,We appreciate both the positive and the negative feedback  #Tizibika,2018-02-08 20:48:20,arushapot
141,4,1,"I don't mind being a couch potato weh, the shows are good  #tizibika #Zubahttps://twitter.com/RockMKaka/status/961701949681913856 …",2018-02-08 20:48:12,Mizz_Chichy
142,8,0,That shit was hilarious  #Tizibika,2018-02-08 20:47:32,Mr_Chola
143,75,3,Of all of this weeks new shows on Channel 160 #Tizibika wins ,2018-02-08 20:47:27,luchi7
144,5,1,*Drum roll* for the director of #Tizibika @arushapot in dead ,2018-02-08 20:46:40,ZambiazHarshTag
145,8,0,@arushapot is the director of #tizibika. Honestly I have to give credit where it's due. This kind of talent needs to be echoed,2018-02-08 20:45:56,tabbethsainte
146,2,1,#Tizibika https://twitter.com/DarealysTawanda/status/961701907088723973 …,2018-02-08 20:44:57,DarealysTawanda
147,4,1,Mukwete ama shinga? #TizibakaSexTape in HD on deck. DM for details... Accepting mobile money and e-wallet... Namunfwa #Tizibika  te yabana iya bena Martin.,2018-02-08 20:43:47,ZambiazHarshTag
148,2,2,Chuff @tozy_b  ine l just yell action. #Tizibika,2018-02-08 20:42:49,arushapot
149,16,0,"#Tizibika  noti DMF zambia,cool stuff",2018-02-08 20:41:34,Zambianated_OmA
150,3,1,The show is a hit @tozy_b #Tizibika,2018-02-08 20:41:15,DarealysTawanda
151,74,8,"Thank you to everyone who watched #Tizibika , we appreciate the feedback.  Thank you so much.  There is a repeat tomorrow at 18:30. ",2018-02-08 20:38:45,arushapot
152,10,2,Who do I speak to about "guest appearing" on #tizibika ,2018-02-08 20:38:42,Tashy_WashyXO
153,8,0,I'd like to thank @zambezimagictv for giving us such a show! #Tizibika is such a hit and I loved every minute of it!,2018-02-08 20:38:36,tabbethsainte
154,17,2,I’m proud of everyone involved @tozy_b @arushapot @Mister_Entitled. #TIZIBIKA is BRILLIANT ,2018-02-08 20:38:02,NubianSkywalker
155,10,0,I couldn’t even get up to go grab my charger #Tizibika is sssssoooo good. #TGIT Zambezi magic for sure. I’m very impressed!!,2018-02-08 20:37:24,8sheetBanda_
156,8,0,You have a fan #Tizibika ,2018-02-08 20:37:15,Klumzyballerina
157,5,1,@tozy_b #Tizibika is trending! Yeah....,2018-02-08 20:36:52,Bembagirl90
158,17,0,The show was an insight of day to day lives and the girls really did execute it well . I'm impressed #Tizibika,2018-02-08 20:36:32,iistargirl
159,5,1,Congratulations @tozy_b (you're doing amazing sweetie) and the #tizibika team.,2018-02-08 20:36:26,KonNkhata
160,10,0,#Tizibika funny. Engaging. So much truth too. Lol. Thank you guys ,2018-02-08 20:36:00,MissMuyunda
161,17,1,Shout out to @tozy_b... Make some noise for @tozy_b for the amazing writing #Tizibika,2018-02-08 20:34:27,ZambiazHarshTag
162,6,0,Yasss what an awesome show #Tizibika,2018-02-08 20:32:19,TheZedBishop
163,29,0,#tizibika is just brilliant! They managed to make me laugh out loud. this is the  #zed  entertainment I need. ,2018-02-08 20:31:30,maluba96
164,14,2,I'm honestly beyond impressed with #Tizibika whoever is behind it kudos...,2018-02-08 20:31:18,jumaniza
165,8,1,Y'all still hiring ?#tizibika,2018-02-08 20:31:11,chisongo_ernest
166,23,3,So #Tizibika I love the concept and the two leads are good and charismatic also that opening sequence is glorious who did it?? For real that's world class. Now the problems... A thread I guess,2018-02-08 20:30:53,kiddtic
167,5,0,#Tizibika ,2018-02-08 20:30:47,prollyawesome22
168,18,3,I'm so proud of you @Mister_Entitled for #Tizibika it's a hit fam. I'm so so proud of you ,2018-02-08 20:30:12,DarealysTawanda
169,17,0,Zambian Tv is popping yall @zambezimagictv 160 @DStvZambia #Tizibika is something else too ,2018-02-08 20:30:04,Lungowe_Sims
170,86,1,I would like to thank Zambezi magic for doing the damn thing from fever to #Zuba and now #tizibika ,2018-02-08 20:29:32,iistargirl
171,6,0,Anyone with the link to the tape? #Tizibika,2018-02-08 20:29:29,C_jay10
172,7,2,Wait? Are they censoring the name Iris?!  #Tizibika,2018-02-08 20:29:08,MissMuyunda
173,1,0,#Tizibika  wezi and thandi you girls are funny people this is a must watch,2018-02-11 18:20:12,Dollmulenga
174,3,1," I was watching #Tizibika last Thursday night, chinanibaba i couldn't tweet about it i had no data",2018-02-11 17:50:32,Siadenda3
175,3,0,"Incase you missed it,go and catch up.. #Tizibika #ZambeziMagicpic.twitter.com/rRtk4b6S6R",2018-02-11 11:52:11,Ericmuleproduct
176,0,0,Awe ise #Tizibika https://fb.me/3AJCsztc3 ,2018-02-11 9:25:36,djloso21
177,2,0,#Tizibika imwe Wezi has finished me ,2018-02-10 20:21:12,Muddy_Purple
178,0,1,Lol the one being talked about in #tizibika,2018-02-10 17:55:20,kristina_miti
179,1,0,I have a full clip. #tizibika,2018-02-10 17:08:59,Ericmuleproduct
180,1,2,"I have the link to the sextape,follow me I will share #Tizibika",2018-02-10 17:01:42,Ericmuleproduct
181,10,2,"#tizibika was awesome 
Thandie doesn’t talk much though 
Also because it’s a reality show,how haven’t we seen or heard about the sex tape?",2018-02-10 16:19:58,kristina_miti
182,0,0,@Tim_Rapper fam did you watch the  #Tizibika premier?,2018-02-10 16:14:42,Mister_Entitled
183,1,1,When is the next episode of #Tizibika ????,2018-02-10 15:54:41,Roxy_Hrt
184,0,0,#Tizibika,2018-02-10 14:15:40,Situmbeko11
185,5,0,#BBNaija meanwhile am thankful and grateful Cee-C is Nigerian! Zambia would have fixed her attitude before she even came to the house! We don't do satanic attitudes abeg! #Tizibika,2018-02-10 12:28:02,ThokoMaryAnne
186,3,0,#tizibika  Zambian Masterpiece,2018-02-10 7:44:11,PRINCE_MBOSHYA3
187,0,0,Woooow you did? That was awesome #Tizibika https://twitter.com/arushapot/status/961628645939871747 …,2018-02-10 4:47:46,LuanoBwalya
188,17,2,"Finally caught up on #Tizibika!

Yassss 
What a clever concept. Witty writing and engaging characters.",2018-02-10 4:45:06,missbwalya
189,0,0,"It shows on Zambezi Magic, every thursday at 22... and if you miss that, you can catch it on friday at 21.30 #Tizibika",2018-02-09 21:29:08,MondeSepo
