,likes,replies,retweets,text,timestamp,user
125,8,4,1," Zuba is on episode 8.. I swear I feel like u'very been watching the same episode.. back acting, irritating Zuba chick.. terrible acting.. annoying AF Zuba chick.. WTF! #Tizibika is the future",2018-02-15 21:04:34,Mister_Entitled
126,11,2,1,I second this motion! #Tizibika is IT!!!  https://twitter.com/iistargirl/status/964241555971338241 …,2018-02-15 21:03:27,monde88
127,2,0,1,Yaaaasss.  You're officially Ba Charles! Beware of Joyce but Enh. Siba jailika Baja #tizibika.,2018-02-15 20:57:42,Nalahru
128,3,1,2, umupondo kopala!!  I die this show #Tizibika,2018-02-15 20:56:54,Kassy90
129,49,1,14,Vina is rubbish. Can Zambezi magic please cancel it and make #Tizibika longer ? pic.twitter.com/PXtv6tktY9,2018-02-15 20:54:36,iistargirl
130,8,1,5,Enjoyed episode 2. Thandi and Hope am officially a fan.#Tizibika,2018-02-15 20:53:54,ThandiZV
131,8,1,3,Imwe #Tizibika I also want a Gucci bag please.  Ya this year aini.,2018-02-15 20:52:14,Nalahru
132,12,0,8,What is this show now? Bring back #tizibika,2018-02-15 20:51:44,PetersenZambia
133,5,2,2,"#tizibika
Wait is this Hope?
From Hope and Chi’s breakfast show? 

Finally a face to the blonde moments !!!!",2018-02-15 20:50:28,chucky_beau
134,11,1,6,#Tizibika S01E02  @tozy_b @arushapot @jeSuis_Amy @KatongoChiluba @Ericmuleproduct @kathlyn_47 ,2018-02-15 20:50:24,Mister_Entitled
135,4,1,2,Like the jogging? Then the dancing? Then the gym? Akant  they actually thought we would fall for the "let's air this after #Tizibika" trick ,2018-02-15 20:49:28,Tashy_WashyXO
136,6,1,3,Lol fam  no Jerabos allowed #tizibika,2018-02-15 20:49:02,KukaMulenga
137,2,1,1,I stopped watching after they started jogging to the gym. It's a downgrade after #tizibika,2018-02-15 20:48:56,mis_kapxy
138,11,2,5,#Tizibika is refreshing. Different from the usual.,2018-02-15 20:47:24,ProudlyZambian
139,10,0,2,Elo they hide their “ba Charles” as though they don’t lowkey fight each other for a “ba charles” #tizibika #ZMComedyhttps://twitter.com/kristina_miti/status/964235272723533825 …,2018-02-15 20:47:18,maluba96
140,10,0,4,"#Tizibika it's like watching two broke girls,I love it.",2018-02-15 20:46:19,MundikeSiangom1
141,3,0,1,"Lol 

Ati akosomola nayo 

1998
1978
1968

Zappa #tizibika",2018-02-15 20:45:01,PetersenZambia
142,10,0,2,2018 Be sure you're the one buying your girls wigs and not a 'Ba Charles!'  #Tizibika,2018-02-15 20:40:48,McD_101
143,11,1,6,"#Tizibika is the best thing thats happened to Zambia....
Proud of u @KatongoChiluba
",2018-02-15 20:40:48,annitwani
144,9,1,7,"#Tizibika I can't say it enough, this show is so good. Ba Charles representing for jerabos finshi mwingabeba!",2018-02-15 20:38:33,jumaniza
145,8,1,3,"#tizibika catch me on the telly every Thursday at 22:00hrs
Today's episode though 'ba Charles' 
I absolutely love it...",2018-02-15 20:38:27,Talu_starzz
146,25,6,4,The way guys slide in DMs please...pictures like this are relevant #tizibika  pic.twitter.com/Qw54z4JOky,2018-02-15 20:37:45,KukaMulenga
147,18,2,5,How some of these women lowkey date a good “ba charles”....we’ve seen your secrets  #Tizibika #ZMComedy,2018-02-15 20:37:04,maluba96
148,30,1,8,Here I am thinking my parents would be asking questions during the episode. My dad starts telling me about the episode I missed last week  #tizibika you have fans in this house,2018-02-15 20:35:28,MsRettaLi
149,2,0,1,Feeling all kinds of FOMO #tizibika ,2018-02-15 20:34:06,ChiqqaShanna
150,3,0,3,If you are watching #tizibika you need to vote https://twitter.com/TopZedBrands/status/961740889663115264 …,2018-02-15 20:33:33,TopZedBrands
151,5,1,2,Bc dat ting goes skrrrrrrPAP-PAP in the preliminary period of cooking/boiling it. #Tizibika,2018-02-15 20:33:07,MissZambia
152,7,0,1,#Tizibika is done now.. while we recover let's watch this girl jog,2018-02-15 20:32:32,Mister_Entitled
153,23,1,10,"#tizibika  needed to be like #zuba 
Can’t be waiting for this slay queen drama once a week ",2018-02-15 20:32:06,kristina_miti
154,7,1,4,"But on the real, Charles would beat me in ten minutes, I would be laughing at him #Jerabo #Tizibika",2018-02-15 20:31:47,kaffie_latte
155,25,2,10,Noooooooo!! Someone petition for #tizibika to be extended to an hour,2018-02-15 20:30:27,Novel_Cee
156,5,0,3,Ati Ba Charles is giving  #Tizibika #ZMComedy,2018-02-15 20:30:15,maluba96
157,7,0,4, "The oven is clean?" #tizibika,2018-02-15 20:29:50,KonNkhata
158,7,0,2,Ba Joyce!! After laughing #Tizibika,2018-02-15 20:29:46,MsRettaLi
159,5,0,2,"Lmao this is how ya'll bampula ma buyer
#Tizibika",2018-02-15 20:29:44,Klumzyballerina
160,24,1,6,"I know of so many Lusaka girls that have stolen eachothers “Ba Charles” 
It’s a shame 
#tizibika",2018-02-15 20:29:38,kristina_miti
161,4,0,3,Yachinja eshina to ba Charles? Mwelesa #Tizibika,2018-02-15 20:29:26,bwalya_mc
162,9,0,5,"Old Vintage! Lol 1968 | 
Pa Location | Instagram Followers | Jerabo | #Tizibika",2018-02-15 20:29:14,PetersenZambia
163,5,0,2," Guys, Charles has ghosted.  #Tizibika",2018-02-15 20:29:02,NubianSkywalker
164,4,0,2,Nhhii friends like joyce #tizibika,2018-02-15 20:28:49,KingZing_
165,8,0,2,Charles has made my night #Tizibika...kabwita,2018-02-15 20:28:41,Chilu_Tk
166,9,0,2,Eheeeeeeeeeeeeee. These friends we have #Tizibika,2018-02-15 20:28:12,Novel_Cee
167,6,0,3,Joyce abampula #Tizibika,2018-02-15 20:27:54,bwalya_mc
168,14,1,4,We would be happy to have Thandi at Hot Fm  #tizibika,2018-02-15 20:27:15,HoneyJewel9
169,2,0,1,#Tryness #tizibika,2018-02-15 20:26:53,Mister_Entitled
170,14,0,5,The tuma diary sessions are the best  #Tizibika,2018-02-15 20:26:47,NubianSkywalker
171,12,1,3,"Nalishebos boyfriend is a permanent bench warmer 
And she’s acting like a Wag 
#tizibika",2018-02-15 20:26:19,kristina_miti
172,6,0,2, Jerabo #Tizibika,2018-02-15 20:25:28,Klumzyballerina
173,8,0,2,My TL filled with all these #Zuba #tizibika and #Fever tweets and I can’t relate coz dololo dstv. pic.twitter.com/eUUHpqXzh4,2018-02-08 22:00:34,BwalyaYamba
174,6,0,3,#tizibika I love these girls,2018-02-08 21:54:28,joannaakuzike
175,6,1,3,Good things are meant to be enjoyed and talked about.....#Tizibika imwe,2018-02-08 21:46:08,Zambianated_OmA
176,9,2,2,I was dying the whole way! Im so proud of you @KatongoChiluba and Wezi! This is just great!!! Thank you @zambezimagictv for #tizibika,2018-02-08 21:31:19,itsEstherChungu
177,10,0,4,"Make some noise for yourself if you retweeted, liked or used the hashtag #Tizibika to send the show trending at no.1 #Zambia Tune in next week same time for the #SlayQueenChronicles",2018-02-08 21:29:52,ZambiazHarshTag
178,9,0,5,"#Tizibika has the versatility of lumanda, yo salula yo boiler ne yaku sashila,,, just can't get enough... No TV but hey I have a friend who has one.. #glued...",2018-02-08 21:29:20,Wolf92327
179,11,0,4,@KatongoChiluba nice #TizibakaSexTape  ise #Tizibika pic.twitter.com/79XWcyMm1R,2018-02-08 21:26:34,djloso21
180,9,0,2,"Zed twittter is trending with #zuba nad #tizibika...this is so wakandan,,,,,,,yes!",2018-02-08 21:23:13,Nizaismyname
181,6,0,3,"This show is great. The acting is on point too. Well done 

#Tizibika",2018-02-08 21:19:18,am_hmbx
182,6,2,3,@tozy_b @arushapot Congrat's on #Tizibika i haven't seen it yet but the feedback has been astounding well deserved!,2018-02-08 21:14:50,Samm_Sid
183,6,0,2,#tizibika time well spent,2018-02-08 21:13:44,bwalyaandrew
184,4,0,2,#tizibika  pilot episode “so far so good”,2018-02-08 21:11:25,Nizaismyname
185,11,1,6,Looking at all the tweets about #tizibika and all can see is how cool it is to run a sentiment analysis of them and plot a bar chart  comparing  negative & positive reviews. With the hope to build a Machine Learning model that predict which shows might be popular with ZedTwitter pic.twitter.com/Om8TTr4bdH,2018-02-08 21:06:49,mbuyu_
186,4,0,2,#Tizibika ,2018-02-08 21:06:20,Lady_Beast18
187,41,1,16,With ZNBCTv no longer having the monopoly on artistic expression. the film industry in Zambia is finally growing and flourishing.#Tizibika #Zuba #fever #dorika etc,2018-02-08 21:04:44,TiganaChileshe
188,3,0,1,Awe iliko. . We appreciate it as well that's how you grow #Tizibika,2018-02-08 21:04:39,arushapot
189,1,1,1,@tozy_b what time is the repeat of #Tizibika ?,2018-02-08 21:04:33,KasaziLungu
190,3,1,2,No negative feedback... The show is too  #Tizibika eh pulogulam,2018-02-08 21:00:03,ZambiazHarshTag
191,123,2,24,"Everyone who watched, twitted thank you soo much. My show is trending on twitter aaaahhhhhhhh

#tizibika
",2018-02-08 20:59:34,tozy_b
192,11,0,5,"#Tizibika i love our two leading ladies @KatongoChiluba and @jeSuis_Amy 
For bookings and inquiries, DM me ",2018-02-08 20:58:11,Mister_Entitled
193,12,0,3,#Tizibika #Zuba... Very Impressive..#Respect,2018-02-08 20:56:52,Aaron_Sankwana
194,21,0,8,I think Zambezi Magic was trying to compensate for date my family and brought #Tizibika . We forgive you. Well done @tozy_b  #ZambeziMagic has given me the best TV week experience in my Zambian TV watching history. ,2018-02-08 20:54:58,isala_lu
195,6,0,3,"Twalishiba ati mwalikaba ba #Zambia! Please, no copying and pasting the #Tizibika situation please.",2018-02-08 20:54:17,ZambiazHarshTag
196,13,1,8,"@tozy_b is the heart and soul of #Tizibika 
These are the hidden talents we have in Zambia ",2018-02-08 20:54:15,Mister_Entitled
197,3,1,3,#Tizibika pic.twitter.com/0hEX0MmPDS,2018-02-08 20:52:23,DarealysTawanda
198,10,1,3,#Tizibika i love the show so proud of you chiluba,2018-02-08 20:51:48,RacheaRm
199,5,0,2,Well done to you all. Not watched it but followed through the Twitter reception. Sounds like #Tizibika is off to a brilliant start. https://twitter.com/tozy_b/status/961703023381745664 …,2018-02-08 20:51:39,AfriWoman
200,9,1,1,We appreciate both the positive and the negative feedback  #Tizibika,2018-02-08 20:48:20,arushapot
201,4,1,4,"I don't mind being a couch potato weh, the shows are good  #tizibika #Zubahttps://twitter.com/RockMKaka/status/961701949681913856 …",2018-02-08 20:48:12,Mizz_Chichy
202,8,0,2,That shit was hilarious  #Tizibika,2018-02-08 20:47:32,Mr_Chola
203,75,3,24,Of all of this weeks new shows on Channel 160 #Tizibika wins ,2018-02-08 20:47:27,luchi7
204,5,1,3,*Drum roll* for the director of #Tizibika @arushapot in dead ,2018-02-08 20:46:40,ZambiazHarshTag
205,8,0,4,@arushapot is the director of #tizibika. Honestly I have to give credit where it's due. This kind of talent needs to be echoed,2018-02-08 20:45:56,tabbethsainte
206,2,1,1,#Tizibika https://twitter.com/DarealysTawanda/status/961701907088723973 …,2018-02-08 20:44:57,DarealysTawanda
